k Linear Matter Galaxy Monopole Quadrupole Hexadecapole
4.3780686290381665e-05 796.105312081075 248.22648798597785 311.3274774275579 423.1013486465561 234.87995515636007 15.37811884328686
4.48025367982949e-05 814.1188224197094 253.84317798331975 335.7236064241368 449.9578762291593 240.1782982834267 15.725012964565181
4.584823751389096e-05 832.539732482195 259.586880011971 365.4792802810941 482.22994557248853 245.59155893393796 16.07943098279775
4.691834510607799e-05 851.3772407582162 265.4604631101115 397.8057859692723 517.1346424585952 251.12530688073952 16.4417375298404
4.801342923653455e-05 870.6407525890706 271.4668613842079 429.7035900912581 551.6782668635345 256.78534417899573 16.812312520796866
4.913407286296367e-05 890.3398850269917 277.60907513686516 458.17387330154787 582.8677355546262 262.5774728909647 17.191535769614188
5.028087254942475e-05 910.4844715804867 283.89017235773923 480.2183699714578 607.7104449968687 268.5074951117562 17.579787129279975
5.1454438783909244e-05 931.0845670654602 290.3132902480053 492.8390350420876 623.2139371342903 274.58121315485835 17.977446485092358
5.265539630332755e-05 952.1504525644216 296.88163677903844 493.0375210564772 626.3853685417349 280.8044291477256 18.38489371595275
5.3884384426082236e-05 973.6926404962226 303.59849228617907 477.81445904019586 614.2307825931465 287.18294536591634 18.802508651679155
5.514205739240302e-05 995.721879798723 310.467211098261 444.1685407962579 583.7541850308008 293.7225641156741 19.230671170213537
5.642908471262542e-05 1018.2491611821207 317.49122316767944 389.1403200853142 532.0012635692455 300.42904231153284 19.66975818033124
5.774615152359826e-05 1041.2857196969296 324.6740334767358 312.5990514484078 458.8414673345097 307.3052718139321 20.119958966996926
5.909395895340977e-05 1064.8430382345052 332.0192221376056 218.88404717430996 368.60656973143097 314.34962155269164 20.581166716208063
6.047322449462643e-05 1088.932856992997 339.53044924351747 112.73078653802027 266.0237349476155 321.56006178040195 21.05324854527161
6.188468238624383e-05 1113.5671796062582 347.21145696645505 -1.121711590112847 155.82356150074048 328.9345626866399 21.536071478848562
6.332908400455115e-05 1138.7582790151469 355.06607138409015 -117.9298239714611 42.74114423632067 336.4710945850194 22.029502655932195
6.480719826311971e-05 1164.518703468564 363.098204346985 -232.94474705950398 -68.48335213405386 344.16762764053334 22.533409127512567
6.631981202212676e-05 1190.8612826569722 371.3118553869484 -341.41241070838356 -173.10460946872305 352.022132171532 23.047658033907126
6.786773050723303e-05 1217.7991339813402 379.7111136673977 -438.57388244038776 -266.3725633554234 360.0325783232969 23.572116370796543
